GNIS_ID,GNIS_Name,area_acre,area_buffe,building_acres,road_acres,other_impervious_acres,total_impervious_acres,total_impervious_percent,Latitude,Longitude
212225,Wononpakook Lake,168,69,0.26138889,0,2.322524208,2.583913099,3.744801592,41.9359,-73.4549
205357,Beardsley Pond,30,29,0,0.75509721,0,0.75509721,2.603783484,41.896243,-73.447374
209643,Pattaconk Reservoir,52,52,0,0.10622146,0.091644627,0.197866087,0.380511705,41.40927,-72.52472
210073,Quonnipaug Lake,96,81,2.762497251,6.719063282,4.620262175,14.10182271,17.40965766,41.39,-72.698
206060,Cat Swamp Pond,29,29,0.26037482,0.396519035,0.517873736,1.174767591,4.050922729,41.5539,-73.1785
211809,Lake Waramaug,641,218,5.932400979,17.52245522,9.612699377,33.06755557,15.16860347,41.69783,-73.37084
205866,Burr Pond,83,67,0.028013237,0.494568646,0.485890695,1.008472578,1.505182953,41.868925,-73.0977
208857,Mianus Reservoir,201,151,0,0,0,0,0,41.1301,-73.6128
205028,West Branch Reservoir,67,81,0.0476092,0.401948184,0.034900468,0.484457851,0.598096113,41.9903,-73.0209
205292,Bashan Lake,266,113,4.559432914,3.232310534,4.532949367,12.32469281,10.9068078,41.490909,-72.411045
206553,Crystal Lake,187,68,3.615688504,2.418401957,10.98897197,17.02306243,25.03391534,41.935883,-72.372335
209973,Powers Lake,147,82,0.148863045,0,0.682700461,0.831563506,1.014101836,41.3925,-72.2503
208263,Lake Kenosia,56,37,2.354140008,1.042517543,3.665106534,7.061764085,19.08584888,41.3824,-73.4995
,,,,,,,,,,
